Team 1 Player 1,Team 1 Player 2,Team 1 Player 3,Team 1 Player 4,Team 1 Player 5,Team 2 Player 1,Team 2 Player 2,Team 2 Player 3,Team 2 Player 4,Team 2 Player 5,MatchID
14148,9612,8151,10330,14419,9612,14148,10330,8151,14419,2340357/mad-lions-vs-chaos-flashpoint-1
20038,20039,20041,19181,20040,20041,20038,20039,19181,20040,2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation
19906,19904,19643,19731,19905,19906,19731,19643,19904,19905,2340567/esper-vs-draconic-esea-mdl-season-33-australia-relegation
15698,11337,10840,10818,18140,10818,15698,18140,11337,10840,2340588/yeah-vs-alcoholics-anonymous-efire-master-league-north-america
16911,11539,13238,12433,10764,16911,12433,13238,11539,10764,2340556/lucid-dream-vs-d13-esea-open-season-33-asia-pacific
8520,8738,7687,10394,8797,8520,7687,8738,10394,8797,2340521/liquid-vs-mibr-esl-pro-league-season-11-north-america
15370,12782,11701,8212,8800,15370,11701,8212,12782,8800,2340578/alternate-attax-vs-endpoint-esea-advanced-season-33-europe
19181,20038,20039,20041,20040,19181,20038,20039,20041,20040,2340574/rozu-vs-draconic-esea-mdl-season-33-australia-relegation
17379,16368,15126,16808,15051,17379,16368,16808,15126,15051,2340552/ethereal-vs-faint-esea-advanced-season-33-north-america
15631,8565,12553,12521,12822,8565,15631,12553,12822,12521,2340522/furia-vs-mibr-esl-pro-league-season-11-north-america
14131,16597,9572,16649,19965,14131,16597,16649,9572,19965,2340598/blood-sweat-and-tears-vs-ethereal-esea-advanced-season-33-north-america
17941,11227,14111,11230,9259,17941,11227,14111,11230,9259,2340531/buffdaddys-paypal-vs-serac-esea-advanced-season-33-north-america
9572,16597,16649,14131,19965,16649,16597,14131,9572,19965,2340595/blood-sweat-and-tears-vs-timbermen-esea-advanced-season-33-north-america
16486,17936,17937,15714,16487,16486,17936,15714,16487,17937,2340579/prima-vs-skade-esea-advanced-season-33-europe
19778,11474,18132,9107,19938,18132,19778,9107,11474,19938,2340566/fury-vs-rozu-esea-mdl-season-33-australia-relegation
11816,9960,8574,2730,429,9960,11816,8574,2730,429,2340092/mousesports-vs-virtuspro-esl-pro-league-season-11-europe
3741,9216,18053,8183,885,3741,18053,9216,8183,885,2340407/faze-vs-virtuspro-esl-pro-league-season-11-europe
11337,18140,15698,10840,10818,11337,18140,15698,10840,10818,2340543/yeah-vs-alcoholics-anonymous-efire-master-league-north-america
11586,13278,12113,10470,8707,11586,10470,8707,13278,12113,2340358/funplus-phoenix-vs-c0ntact-flashpoint-1
13300,12018,10610,8891,10096,12018,13300,10610,8891,10096,2340353/copenhagen-flames-vs-havu-flashpoint-1
8800,12782,11701,15370,8212,12782,15370,11701,8800,8212,2340541/alternate-attax-vs-prima-esea-advanced-season-33-europe
