Map,Player,Kills,Deaths,ADR,KAST%,Rating,MatchID
Dust2,10330,22,19,82.7,70.0,1.26,2340357/mad-lions-vs-chaos-flashpoint-1
Dust2,14148,22,17,84.7,66.7,1.24,2340357/mad-lions-vs-chaos-flashpoint-1
Dust2,8151,18,15,67.9,80.0,1.17,2340357/mad-lions-vs-chaos-flashpoint-1
Dust2,9612,18,18,74.9,76.7,1.03,2340357/mad-lions-vs-chaos-flashpoint-1
Dust2,14419,10,23,31.4,73.3,0.62,2340357/mad-lions-vs-chaos-flashpoint-1
Dust2,7253,28,20,94.3,60.0,1.36,2340357/mad-lions-vs-chaos-flashpoint-1
Dust2,12089,19,18,81.8,80.0,1.18,2340357/mad-lions-vs-chaos-flashpoint-1
Dust2,9258,21,17,70.3,73.3,1.05,2340357/mad-lions-vs-chaos-flashpoint-1
Dust2,13228,15,16,51.1,70.0,1.02,2340357/mad-lions-vs-chaos-flashpoint-1
Dust2,13186,9,20,38.1,56.7,0.59,2340357/mad-lions-vs-chaos-flashpoint-1
Nuke,9612,22,18,101.1,73.1,1.41,2340357/mad-lions-vs-chaos-flashpoint-1
Nuke,14148,22,16,97.1,80.8,1.37,2340357/mad-lions-vs-chaos-flashpoint-1
Nuke,8151,16,17,71.4,69.2,1.03,2340357/mad-lions-vs-chaos-flashpoint-1
Nuke,14419,16,16,53.6,57.7,0.93,2340357/mad-lions-vs-chaos-flashpoint-1
Nuke,10330,10,14,38.0,69.2,0.90,2340357/mad-lions-vs-chaos-flashpoint-1
Nuke,7253,19,19,82.7,73.1,1.12,2340357/mad-lions-vs-chaos-flashpoint-1
Nuke,12089,19,17,84.1,80.8,1.09,2340357/mad-lions-vs-chaos-flashpoint-1
Nuke,13228,18,17,71.5,69.2,0.97,2340357/mad-lions-vs-chaos-flashpoint-1
Nuke,9258,16,16,65.1,61.5,0.92,2340357/mad-lions-vs-chaos-flashpoint-1
Nuke,13186,7,17,45.8,65.4,0.68,2340357/mad-lions-vs-chaos-flashpoint-1
Mirage,20038,27,12,115.9,87.0,1.74,2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation
Mirage,20041,26,14,101.4,78.3,1.67,2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation
Mirage,19181,19,12,93.6,73.9,1.43,2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation
Mirage,20039,13,12,77.7,82.6,1.22,2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation
Mirage,20040,14,18,59.1,65.2,0.88,2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation
Mirage,19731,21,18,83.8,65.2,1.11,2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation
Mirage,19906,16,18,75.0,60.9,0.91,2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation
Mirage,19643,14,21,85.0,52.2,0.78,2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation
Mirage,19905,9,20,48.3,65.2,0.59,2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation
Mirage,19904,8,22,54.1,60.9,0.52,2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation
Vertigo,20039,25,22,86.4,72.4,1.20,2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation
Vertigo,20041,20,21,79.2,65.5,1.06,2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation
Vertigo,20038,18,24,71.0,69.0,0.97,2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation
Vertigo,19181,19,22,75.7,44.8,0.91,2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation
Vertigo,20040,13,26,65.5,51.7,0.67,2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation
Vertigo,19906,36,20,126.4,79.3,1.80,2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation
Vertigo,19904,23,20,87.9,79.3,1.23,2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation
Vertigo,19643,22,17,82.7,75.9,1.23,2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation
Vertigo,19731,22,17,74.0,82.8,1.16,2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation
Vertigo,19905,12,21,47.0,62.1,0.68,2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation
Train,20039,23,20,84.2,66.7,1.20,2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation
Train,20038,23,24,89.1,70.0,1.08,2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation
Train,19181,22,23,86.6,66.7,1.04,2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation
Train,20040,21,20,65.8,63.3,0.98,2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation
Train,20041,15,20,57.7,73.3,0.88,2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation
Train,19906,25,20,79.3,70.0,1.24,2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation
Train,19731,20,19,76.3,80.0,1.16,2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation
Train,19905,25,21,77.4,73.3,1.09,2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation
Train,19643,20,23,78.7,73.3,1.02,2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation
Train,19904,17,21,58.7,63.3,0.84,2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation
Inferno,19906,22,18,97.8,70.8,1.33,2340567/esper-vs-draconic-esea-mdl-season-33-australia-relegation
Inferno,19731,18,19,75.2,75.0,1.00,2340567/esper-vs-draconic-esea-mdl-season-33-australia-relegation
Inferno,19904,17,18,52.7,75.0,0.89,2340567/esper-vs-draconic-esea-mdl-season-33-australia-relegation
Inferno,19905,14,19,77.8,66.7,0.81,2340567/esper-vs-draconic-esea-mdl-season-33-australia-relegation
Inferno,19643,3,16,42.3,66.7,0.54,2340567/esper-vs-draconic-esea-mdl-season-33-australia-relegation
Inferno,20051,23,15,98.5,95.8,1.69,2340567/esper-vs-draconic-esea-mdl-season-33-australia-relegation
Inferno,20050,23,13,95.5,87.5,1.58,2340567/esper-vs-draconic-esea-mdl-season-33-australia-relegation
Inferno,20048,21,18,80.5,83.3,1.24,2340567/esper-vs-draconic-esea-mdl-season-33-australia-relegation
